num; time; fix; lat; lon; alt; times; timems
72; 45502; 0; 55.910648; 37.805382; 200.000000; 0; 0;
73; 46213; 0; 55.910648; 37.805382; 200.000000; 0; 0;
74; 46737; 0; 55.910648; 37.805382; 200.000000; 0; 0;
75; 47427; 0; 55.910648; 37.805382; 200.000000; 0; 0;
76; 47904; 0; 55.910648; 37.805382; 200.000000; 0; 0;
77; 48544; 0; 55.910648; 37.805382; 200.000000; 0; 0;
78; 49080; 0; 55.910648; 37.805382; 200.000000; 0; 0;
79; 49765; 0; 55.910648; 37.805382; 200.000000; 0; 0;
80; 50341; 0; 55.910648; 37.805382; 200.000000; 0; 0;
81; 50820; 0; 55.910648; 37.805382; 200.000000; 0; 0;
82; 51353; 0; 55.910648; 37.805382; 200.000000; 0; 0;
83; 51913; 0; 55.910648; 37.805382; 200.000000; 0; 0;
84; 52547; 0; 55.910648; 37.805382; 200.000000; 0; 0;
85; 53026; 0; 55.910648; 37.805382; 200.000000; 0; 0;
86; 53628; 0; 55.910648; 37.805382; 200.000000; 0; 0;
87; 54345; 0; 55.910648; 37.805382; 200.000000; 0; 0;
88; 54914; 0; 55.910648; 37.805382; 200.000000; 0; 0;
89; 55448; 0; 55.910648; 37.805382; 200.000000; 0; 0;
90; 56041; 0; 55.910648; 37.805382; 200.000000; 0; 0;
91; 56753; 0; 55.910648; 37.805382; 200.000000; 0; 0;
92; 57232; 0; 55.910648; 37.805382; 200.000000; 0; 0;
93; 57808; 0; 55.910648; 37.805382; 200.000000; 0; 0;
94; 58451; 0; 55.910648; 37.805382; 200.000000; 0; 0;
95; 59128; 0; 55.910648; 37.805382; 200.000000; 0; 0;
96; 59620; 0; 55.910648; 37.805382; 200.000000; 0; 0;
97; 60164; 0; 55.910648; 37.805382; 200.000000; 0; 0;
98; 60696; 0; 55.910648; 37.805382; 200.000000; 0; 0;
99; 61277; 0; 55.910648; 37.805382; 200.000000; 0; 0;
100; 61859; 0; 55.910648; 37.805382; 200.000000; 0; 0;
101; 62450; 0; 55.910648; 37.805382; 200.000000; 0; 0;
102; 62971; 0; 55.910648; 37.805382; 200.000000; 0; 0;
103; 63600; 0; 55.910648; 37.805382; 200.000000; 0; 0;
104; 64243; 0; 55.910648; 37.805382; 200.000000; 0; 0;
105; 64723; 0; 55.910648; 37.805382; 200.000000; 0; 0;
106; 65381; 0; 55.910648; 37.805382; 200.000000; 0; 0;
107; 66622; 0; 55.910648; 37.805382; 200.000000; 0; 0;
108; 67264; 0; 55.910648; 37.805382; 200.000000; 0; 0;
109; 67824; 0; 55.910648; 37.805382; 200.000000; 0; 0;
110; 68400; 0; 55.910648; 37.805382; 200.000000; 0; 0;
111; 68942; 0; 55.910648; 37.805382; 200.000000; 0; 0;
112; 69535; 0; 55.910648; 37.805382; 200.000000; 0; 0;
113; 70056; 0; 55.910648; 37.805382; 200.000000; 0; 0;
114; 70684; 0; 55.910648; 37.805382; 200.000000; 0; 0;
