num; time; accl1; accl2; accl3; gyro1; gyro2; gyro3; mag1; mag2; mag3
349;54433;12;-20;-996;496;4759;3803;-19;0;0
350;54551;13;-23;-995;496;4757;3803;-19;-19;-13
351;54796;20;-34;-1014;498;4756;3802;-19;0;0
352;54912;8;-22;-993;496;4759;3804;-19;-19;-13
353;55056;18;-28;-1009;495;4757;3803;-19;-19;-13
354;55185;15;-40;-1016;513;4750;3835;0;-19;-13
355;55329;18;-35;-1031;487;4764;3798;0;-19;-13
356;55446;11;-20;-997;489;4761;3800;0;0;0
357;55590;10;-21;-975;496;4756;3803;0;0;0
358;55707;15;-30;-1006;497;4756;3802;-19;0;0
359;55909;12;-21;-991;502;4753;3802;-19;-19;-13
360;56038;14;-26;-996;494;4757;3803;0;-19;-13
361;56182;16;-21;-991;497;4757;3803;0;-19;-13
362;56298;10;-23;-992;495;4755;3802;-19;0;0
363;56441;16;-18;-994;496;4756;3802;-19;0;0
364;56557;13;-24;-1000;498;4756;3803;-19;-19;-13
365;56841;9;-27;-995;496;4758;3802;0;-19;-13
366;56970;19;-27;-990;517;4744;3803;-19;0;0
367;57114;12;-28;-991;494;4761;3801;-19;0;0
368;57229;10;-36;-989;504;4756;3799;-19;-19;-13
369;57373;5;-26;-990;513;4745;3804;-19;-19;-13
370;57489;0;-32;-979;493;4758;3798;0;-19;-13
371;57689;15;-21;-994;495;4759;3802;-19;0;0
372;57805;9;-14;-1000;495;4755;3804;-19;-19;-13
373;57963;11;-12;-998;534;4769;3804;-19;0;0
374;58078;12;-31;-994;497;4755;3803;0;-19;-13
375;58222;10;-22;-996;500;4759;3802;0;-19;-13
376;58338;10;-16;-917;503;4767;3804;-19;0;0
377;58539;38;-15;-997;505;4754;3837;-19;0;0
378;58656;-9;-31;-985;486;4762;3802;0;-19;-13
379;58894;19;-19;-1003;480;4764;3808;0;-19;-13
380;59015;19;-18;-994;489;4762;3801;0;-19;-13
381;59229;6;-19;-998;490;4760;3803;0;-19;-13
382;59358;17;-34;-993;500;4755;3801;-19;0;0
383;59501;0;-32;-991;479;4766;3801;-19;0;0
384;59617;26;-24;-1052;469;4748;3805;-19;-19;-13
385;59761;12;-17;-1000;491;4754;3802;-19;-19;-13
386;59876;4;-18;-1003;495;4752;3802;0;-19;-13
387;60020;12;-13;-994;511;4764;3802;0;-19;-13
388;60162;22;-28;-952;500;4760;3807;-19;0;0
389;60305;10;-15;-998;485;4750;3801;-19;0;0
390;60421;13;-29;-996;494;4755;3802;-19;-19;-13
391;60564;14;-25;-1006;492;4755;3803;-19;-19;-13
392;60694;20;-47;-986;520;4766;3803;0;-19;-13
393;60837;11;-23;-967;511;4763;3801;0;-19;-13
394;60953;14;-13;-1004;497;4757;3803;-19;0;0
395;61156;7;-8;-1005;491;4754;3803;-19;0;0
396;61275;13;-12;-990;493;4757;3804;-19;0;0
397;61422;12;-19;-977;492;4760;3802;0;0;0
398;61541;25;-47;-998;540;4773;3803;-19;0;0
399;61741;13;-13;-996;487;4753;3801;-19;-19;-13
400;61857;24;-49;-1023;512;4759;3805;0;-19;-13
401;62000;20;-29;-990;503;4760;3802;0;-19;-13
402;62116;15;-14;-1008;502;4756;3802;-19;0;0
403;62331;26;-41;-983;481;4750;3802;-19;0;0
404;62447;17;-26;-1011;506;4754;3804;0;-19;-13
405;62593;16;-31;-1000;508;4760;3803;-19;-19;-13
406;62709;8;-22;-992;466;4746;3802;0;-19;-13
407;62853;12;-27;-1018;488;4757;3803;0;-19;-13
408;62969;0;-11;-999;488;4756;3802;-19;0;0
409;63112;12;-35;-1000;506;4757;3803;-19;0;0
410;63337;18;-39;-1016;558;4771;3802;0;-19;-13
411;63481;8;-40;-1014;472;4745;3802;-19;-19;-13
412;63597;6;-21;-1003;490;4754;3804;0;-19;-13
413;63742;19;-28;-977;495;4757;3800;0;-19;-13
414;63871;7;-33;-1026;471;4744;3803;-19;0;0
415;64014;10;-29;-998;468;4752;3802;-19;0;0
416;64131;23;-14;-976;476;4757;3799;-19;-19;-13
417;64345;17;-15;-1005;493;4750;3803;0;-19;-13
418;64460;11;-15;-992;501;4754;3803;0;0;0
419;64605;11;-28;-998;496;4759;3803;0;0;0
420;64721;5;-12;-1012;479;4750;3802;-19;0;0
421;64864;20;-25;-998;490;4753;3802;-19;-19;-13
422;64994;14;-29;-1006;501;4754;3804;0;-19;-13
423;65138;15;-26;-983;500;4756;3803;-19;-19;-13
424;65268;14;-22;-999;496;4756;3802;0;-19;-13
425;65468;35;-30;-990;508;4773;3803;-19;0;0
426;65585;16;-31;-1013;491;4757;3803;-19;-19;-13
427;66504;13;-10;-984;526;4766;3803;0;-19;-13
428;66620;-3;40;-993;441;4737;3801;-19;0;0
429;66763;15;-36;-1007;501;4752;3806;-19;0;0
430;66879;15;-22;-1008;492;4755;3803;0;-19;-13
431;67022;-2;-11;-999;494;4762;3804;0;-19;-13
432;67151;2;-30;-1008;502;4757;3800;0;0;0
433;67352;29;-25;-989;507;4755;3770;-19;0;0
434;67467;13;-33;-988;475;4766;3802;0;-19;-13
435;67611;12;-18;-990;487;4759;3803;0;-19;-13
436;67822;13;-24;-993;497;4755;3803;-19;0;0
437;67966;16;-26;-995;496;4758;3803;-19;0;0
438;68082;11;-24;-993;494;4758;3801;-19;-19;-13
439;68282;17;-28;-996;495;4758;3802;0;-19;-13
440;68397;18;-21;-987;497;4755;3802;-19;0;0
441;68541;10;-30;-991;493;4760;3802;-19;0;0
442;68661;18;-22;-994;490;4762;3801;-19;0;0
443;68807;12;-30;-1007;495;4757;3802;-19;0;0
444;68939;15;-24;-990;496;4756;3802;-19;0;0
445;69088;14;-27;-993;498;4756;3803;0;-19;-13
446;69216;10;-24;-995;495;4756;3802;0;0;0
447;69416;15;-26;-997;497;4756;3803;-19;0;0
448;69532;13;-24;-991;495;4757;3802;0;-19;-13
449;69676;14;-24;-990;497;4755;3803;0;-19;-13
450;69792;13;-23;-994;496;4755;3803;-19;0;0
451;69937;14;-27;-995;495;4756;3802;-19;0;0
452;70053;5;-17;-967;496;4762;3803;-19;0;0
453;70212;3;-24;-1003;496;4756;3803;-19;0;0
454;70327;15;-24;-992;496;4758;3802;-19;-19;-13
455;70471;9;-24;-999;494;4757;3802;0;-19;-13
456;70682;11;-24;-990;496;4757;3803;-19;0;0
457;70839;20;-31;-982;501;4748;3803;0;0;0
458;70969;11;-23;-1001;497;4755;3801;-19;0;0
459;71113;10;-22;-998;496;4755;3802;-19;0;0
460;71229;4;-20;-996;496;4757;3803;-19;-19;-13
461;71429;16;-27;-986;498;4758;3803;0;-19;-13
462;71545;13;-27;-1001;497;4755;3803;-19;0;0
463;71689;19;-24;-989;497;4756;3803;-19;0;0
464;71805;11;-26;-1003;496;4753;3804;0;-19;-13
465;71949;10;-27;-998;495;4759;3802;0;-19;-13
466;72065;16;-26;-998;497;4756;3803;0;0;0
467;72266;14;-25;-994;495;4755;3802;-19;0;0
468;72477;13;-27;-1000;496;4757;3803;0;-19;-13
469;72679;16;-27;-998;495;4758;3803;0;-19;-13
470;72795;10;-23;-993;495;4758;3804;-19;0;0
471;72939;13;-27;-997;494;4757;3803;-19;0;0
472;73055;13;-24;-992;497;4756;3802;-19;-19;-13
473;73199;13;-26;-993;496;4755;3803;-19;-19;-13
474;73320;11;-24;-993;496;4758;3803;-19;-19;-13
475;73491;16;-25;-1000;497;4756;3802;-19;0;0
476;73607;11;-24;-993;496;4756;3803;0;-19;-13
477;73751;14;-27;-998;495;4757;3803;0;-19;-13
