"Number";"Time_ms";"Time";"Q1";"Q2";"Q3";"Q4";"crc"
1722;108165;108.16200256347656;0.7102957963943481;0.04093722254037857;0.006469203159213066;0.7026820778846741;23080;
1724;108280;108.2770004272461;0.7017812728881836;0.06508926302194595;-0.020838869735598564;0.7091066241264343;61470;
1726;108384;108.38099670410156;0.6891210079193115;0.07617514580488205;-0.04512562230229378;0.7192171812057495;54628;
1728;108506;108.50299835205078;0.6683126091957092;0.08418890833854675;-0.04310760647058487;0.7378429770469666;16272;
1737;108985;108.98200225830078;0.6832520365715027;0.09018073230981827;-0.03015497885644436;0.7239646315574646;22993;
1746;110105;110.10199737548828;0.6955196261405945;-0.028556955978274345;-0.04640474170446396;0.7164380550384521;46974;
1748;110207;110.2040023803711;0.7261329889297485;0.011149871163070202;-0.04921097680926323;0.6857001781463623;4549;
1752;110431;110.4280014038086;0.7565905451774597;0.0505288802087307;-0.03559742495417595;0.65096116065979;61519;
1768;111341;111.33799743652344;0.7752300500869751;0.08504768460988998;-0.054580383002758026;0.623543381690979;7454;
1770;111441;111.43800354003906;0.7838085293769836;0.08751112967729568;-0.036018092185258865;0.6137497425079346;27601;
1773;111624;111.62100219726562;0.8140059113502502;0.04907582327723503;-0.01801878586411476;0.5784991383552551;8326;
1780;112038;112.03500366210938;0.798246443271637;0.0673796609044075;-0.04895922541618347;0.5965445637702942;29266;
1781;112085;112.08200073242188;0.792059600353241;0.07661272585391998;-0.04478680342435837;0.6039586663246155;1092;
1784;112253;112.25;0.7809134721755981;0.08699077367782593;-0.04017948359251022;0.6172457933425903;60961;
1790;112610;112.60700225830078;0.8133829236030579;0.07206924259662628;-0.026722952723503113;0.5766282081604004;13515;
1792;112714;112.71099853515625;0.826122522354126;0.06562640517950058;-0.022472156211733818;0.5592045783996582;13808;
1795;112884;112.88099670410156;0.8229774832725525;0.05663910135626793;-0.003075389191508293;0.5652350783348083;18465;
1799;113100;113.0979995727539;0.8155818581581116;0.05582926422357559;-0.04876832664012909;0.5738736987113953;6087;
1801;113216;113.21299743652344;0.7907617688179016;0.06347639113664627;-0.05236571654677391;0.6065677404403687;56801;
1803;113318;113.31500244140625;0.7788401246070862;0.07611768692731857;-0.04329371824860573;0.6210795640945435;53323;
1805;113437;113.43399810791016;0.7681523561477661;0.08798403292894363;-0.05502425879240036;0.6318014860153198;17502;
1812;113844;113.84100341796875;0.852030873298645;0.08513906598091125;-0.024907587096095085;0.5159209370613098;333;
1814;113943;113.94000244140625;0.8614423274993896;0.07967990636825562;-0.0302719883620739;0.5006514191627502;27779;
1816;114061;114.05799865722656;0.8659268021583557;0.08783868700265884;-0.04584397003054619;0.49025869369506836;14128;
1818;114162;114.16000366210938;0.8662673234939575;0.07673807442188263;-0.06496928632259369;0.48935797810554504;22900;
1823;114458;114.45500183105469;0.8440105319023132;0.07651874423027039;-0.05387882888317108;0.5280985832214355;4504;
1831;114901;114.89800262451172;0.8609297871589661;0.09622348099946976;-0.044639699161052704;0.4975421726703644;49135;
1834;115063;115.05999755859375;0.8701399564743042;0.08423945307731628;-0.025981860235333443;0.484855592250824;14088;
1836;115162;115.15899658203125;0.8721925616264343;0.07820861786603928;-0.027155127376317978;0.4821060001850128;5901;
1845;116280;116.2770004272461;0.9255751371383667;0.09082890301942825;-0.12269549071788788;0.34641972184181213;24154;
1847;116379;116.3759994506836;0.9337121844291687;0.09484320133924484;-0.11468164622783661;0.32562923431396484;12273;
1848;116432;116.42900085449219;0.9361964464187622;0.0958746001124382;-0.10664969682693481;0.32088977098464966;54499;
1851;116623;116.62100219726562;0.9266712069511414;0.08471348881721497;-0.08304069936275482;0.3566627502441406;2641;
1856;116907;116.90399932861328;0.9166954159736633;0.09715014696121216;-0.06701137125492096;0.38176023960113525;52108;
1857;116959;116.95700073242188;0.9254267811775208;0.09158352017402649;-0.06932635605335236;0.36109769344329834;7925;
1858;117025;117.02200317382812;0.9401321411132812;0.09691505134105682;-0.07871102541685104;0.31711775064468384;20340;
1859;117081;117.0790023803711;0.9512975811958313;0.09868601709604263;-0.07345027476549149;0.28266406059265137;27759;
1867;117530;117.5270004272461;0.9593358635902405;0.08490298688411713;-0.07585187256336212;0.25828787684440613;33653;
1869;117633;117.62999725341797;0.9564433693885803;0.0667298436164856;-0.09529909491539001;0.26773372292518616;62675;
1878;118159;118.15599822998047;0.9317079186439514;0.07412092387676239;-0.08042638748884201;0.3463497459888458;6326;
1880;118258;118.25499725341797;0.9357235431671143;0.08318197727203369;-0.08667422831058502;0.33164700865745544;47618;
1896;119142;119.13999938964844;0.916642427444458;0.04759689047932625;-0.08717381209135056;0.3871716856956482;1230;
1900;119375;119.37200164794922;0.9271804094314575;0.07872594892978668;-0.07347331941127777;0.35880419611930847;51042;
1901;119427;119.42500305175781;0.9302641749382019;0.07846444845199585;-0.06278096139431;0.35286030173301697;61587;
1902;119477;119.4739990234375;0.9349446892738342;0.07940744608640671;-0.05835559219121933;0.3408336043357849;24163;
1911;120000;119.99700164794922;0.932994544506073;0.057736627757549286;-0.0920175239443779;0.34310412406921387;27784;
1912;120053;120.05000305175781;0.927749514579773;0.06141123175621033;-0.08752215653657913;0.3575603663921356;17771;
1913;120102;120.0989990234375;0.9246625900268555;0.06838003545999527;-0.07761353999376297;0.36646896600723267;11926;
1922;120612;120.60900115966797;0.9475321769714355;0.08904603123664856;-0.08114393055438995;0.2960897982120514;62039;
1923;120664;120.66200256347656;0.9501801133155823;0.08858106285333633;-0.07907193154096603;0.2881993055343628;32288;
1924;120714;120.71099853515625;0.9511148929595947;0.09106850624084473;-0.07571861147880554;0.28522562980651855;54670;
1933;121232;121.22899627685547;0.9470575451850891;0.09003324061632156;-0.08154984563589096;0.2971961498260498;27586;
1944;122471;122.46800231933594;0.9356150031089783;0.06912503391504288;-0.08386842906475067;0.33587563037872314;8150;
1946;122573;122.56999969482422;0.9330542087554932;0.07977501302957535;-0.09419591724872589;0.3378947675228119;48060;
1955;123083;123.08000183105469;0.9659890532493591;0.09966912865638733;-0.09152038395404816;0.22035276889801025;21551;
1957;123201;123.197998046875;0.9634714722633362;0.092873714864254;-0.10006068646907806;0.23040178418159485;6299;
1960;123368;123.36499786376953;0.9624056220054626;0.06526780873537064;-0.10168533027172089;0.24326056241989136;16309;
1965;123663;123.66000366210938;0.9488263130187988;0.05966939777135849;-0.1018604263663292;0.29290392994880676;36828;
1973;124093;124.09100341796875;0.9717776775360107;0.07539326697587967;-0.11660881340503693;0.19069954752922058;19616;
1976;124271;124.26799774169922;0.9627883434295654;0.09994735568761826;-0.12961001694202423;0.21505919098854065;5933;
1979;124432;124.4280014038086;0.9620562791824341;0.08630575984716415;-0.13019025325775146;0.2237178534269333;554;
1986;124813;124.81099700927734;0.9591609835624695;0.05700191110372543;-0.09252294152975082;0.2611522078514099;20296;
1987;124878;124.8759994506836;0.9598391652107239;0.06266146898269653;-0.09311585128307343;0.2571220099925995;38219;
1992;125169;125.16699981689453;0.9721893668174744;0.07405786961317062;-0.08481705188751221;0.2053520679473877;19918;
