"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
1339;307970;0;nan;nan;nan;44519;0;62771;
1344;308988;0;nan;nan;nan;44520;0;64826;
1345;309194;0;nan;nan;nan;44520;0;60625;
1348;309798;0;nan;nan;nan;44521;0;47172;
1349;310004;0;nan;nan;nan;44521;0;13459;
1354;311084;0;nan;nan;nan;44522;0;42947;
1357;311689;0;nan;nan;nan;44523;0;9595;
1360;312906;0;nan;nan;nan;44524;0;41585;
1363;313517;0;nan;nan;nan;44525;0;13423;
1364;313727;0;nan;nan;nan;44525;0;9844;
1381;317255;0;nan;nan;nan;44528;0;54218;
1384;317857;0;nan;nan;nan;44529;0;1612;
1387;319074;0;nan;nan;nan;44530;0;2256;
1390;319688;0;nan;nan;nan;44531;0;60089;
1396;320944;0;nan;nan;nan;44532;0;27973;
1405;322789;0;nan;nan;nan;44534;0;27924;
1426;327745;0;nan;nan;nan;44539;0;298;
1429;328361;0;nan;nan;nan;44539;0;3917;
1432;328964;0;nan;nan;nan;44540;0;18480;
1435;329588;0;nan;nan;nan;44541;0;52624;
1440;330630;0;nan;nan;nan;44542;0;35386;
1441;330844;0;nan;nan;nan;44542;0;64877;
1447;332696;0;nan;nan;nan;44544;0;58684;
1459;335179;0;nan;nan;nan;44546;0;5521;
1468;337032;0;nan;nan;nan;44548;0;22869;
1470;338054;0;nan;nan;nan;44549;0;46645;
1474;338868;0;nan;nan;nan;44550;0;63599;
1477;339489;0;nan;nan;nan;44551;0;21339;
1480;340113;0;nan;nan;nan;44551;0;59900;
1481;340320;0;nan;nan;nan;44551;0;2729;
1483;340726;0;nan;nan;nan;44552;0;57427;
1485;341131;0;nan;nan;nan;44552;0;39967;
1486;341330;0;nan;nan;nan;44552;0;52091;
1492;342594;0;nan;nan;nan;44554;0;62179;
1501;345056;0;nan;nan;nan;44556;0;58835;
1504;345666;0;nan;nan;nan;44557;0;21730;
1507;346283;0;nan;nan;nan;44557;0;28583;
1510;346899;0;nan;nan;nan;44558;0;20282;
1513;347523;0;nan;nan;nan;44559;0;9204;
1515;347931;0;nan;nan;nan;44559;0;49136;
1516;348128;0;nan;nan;nan;44559;0;47399;
1518;348536;0;nan;nan;nan;44560;0;53634;
1532;352037;0;nan;nan;nan;44563;0;23999;
1546;354935;0;nan;nan;nan;44566;0;19318;
1549;355562;0;nan;nan;nan;44567;0;7475;
1552;356781;0;nan;nan;nan;44568;0;33496;
1555;357405;0;nan;nan;nan;44569;0;18607;
1558;358031;0;nan;nan;nan;44569;0;20489;
1567;359909;0;nan;nan;nan;44571;0;13367;
1570;360512;0;nan;nan;nan;44572;0;57367;
1573;361120;0;nan;nan;nan;44572;0;56797;
1575;361542;0;nan;nan;nan;44573;0;52948;
1582;363594;0;nan;nan;nan;44575;0;65262;
1588;364829;0;nan;nan;nan;44576;0;49007;
1591;365455;0;nan;nan;nan;44577;0;15202;
1597;366674;0;nan;nan;nan;44578;0;41770;
1603;367916;0;nan;nan;nan;44579;0;35141;
1615;370989;0;nan;nan;nan;44582;0;57846;
1618;371595;0;nan;nan;nan;44583;0;56104;
1620;372027;0;nan;nan;nan;44583;0;11924;
1621;372228;0;nan;nan;nan;44583;0;11227;
1624;372851;0;nan;nan;nan;44584;0;47616;
1627;373470;0;nan;nan;nan;44585;0;53514;
1630;374110;0;nan;nan;nan;44585;0;42320;
1633;374734;0;nan;nan;nan;44586;0;64463;
1636;375948;0;nan;nan;nan;44587;0;3148;
1641;376977;0;nan;nan;nan;44588;0;26638;
1642;377176;0;nan;nan;nan;44588;0;22576;
1645;377783;0;nan;nan;nan;44589;0;25792;
1651;379048;0;nan;nan;nan;44590;0;51395;
1654;379657;0;nan;nan;nan;44591;0;40814;
1655;379864;0;nan;nan;nan;44591;0;63291;
1657;380275;0;nan;nan;nan;44591;0;34419;
1669;383335;0;nan;nan;nan;44595;0;36948;
1672;383971;0;nan;nan;nan;44595;0;524;
1675;384598;0;nan;nan;nan;44596;0;29975;
1693;388919;0;nan;nan;nan;44600;0;20670;
1696;389547;0;nan;nan;nan;44601;0;31251;
1702;390757;0;nan;nan;nan;44602;0;52289;
1705;391389;0;nan;nan;nan;44603;0;20596;
1706;391600;0;nan;nan;nan;44603;0;13707;
1711;392599;0;nan;nan;nan;44604;0;63830;
1713;393016;0;nan;nan;nan;44604;0;30251;
1714;393233;0;nan;nan;nan;44604;0;19289;
1717;393870;0;nan;nan;nan;44605;0;21262;
1720;395098;0;nan;nan;nan;44606;0;11037;
1723;395715;0;nan;nan;nan;44607;0;29484;
1741;399419;0;nan;nan;nan;44611;0;17673;
