"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
206;48263;-0.0;0.0;-0.0;171.933349609375;-5.254049301147461;65138;
208;48668;-0.0;0.0;0.0;166.91110229492188;-5.318148612976074;11484;
211;49293;6.355361126253456e-09;1.0;0.0;177.10105895996094;-4.896328449249268;22104;
212;49525;-0.0;0.0;0.0;174.02444458007812;-4.689270973205566;36890;
213;49729;-0.0;0.0;0.0;174.7872314453125;-4.9735846519470215;41809;
215;50148;-1.0;1.683967276733256e-08;-8.673851706657101e-35;179.74728393554688;-5.339503288269043;1804;
217;50552;-0.0;-0.0;0.0;-175.42405700683594;-5.910704135894775;17954;
218;50749;-1.0;2.6692655145943173e-18;-0.0;178.8278045654297;-5.4120893478393555;44964;
220;51163;-0.0;0.0;0.0;178.96495056152344;-4.2310285568237305;53421;
221;51361;-9.187406946331578e-10;-1.0;-3.1468156422245414e-33;-169.89657592773438;-5.1470818519592285;22269;
223;51772;nan;nan;nan;-171.0244140625;-4.485933780670166;14164;
224;51974;-0.0;-0.0;-0.0;-165.9308319091797;-4.5470290184021;32841;
229;53624;0.0;-1.0;2.198687944184458e-19;-165.4352569580078;-4.610530376434326;16018;
232;54234;-0.0;-0.0;-0.0;-162.1279296875;-5.431042194366455;48270;
233;54438;0.0;-0.0;0.0;-166.88742065429688;-5.5650739669799805;11968;
234;54657;-5.097602895354214e-10;-1.0;-9.624403392847515e-15;-163.36219787597656;-5.287611961364746;37337;
236;55062;-0.0;-0.0;0.0;-156.27467346191406;-5.124222278594971;38747;
238;55461;3.478462807040136e-18;-1.0;-1.736533659923989e-11;-163.1361846923828;-4.523111820220947;8425;
239;55673;-4.700779806168375e-16;-1.0;1.6153689152447254e-24;-160.66204833984375;-4.663061618804932;55039;
242;56298;0.0;-0.0;-0.0;-155.9576416015625;-5.364345550537109;19783;
244;56692;1.0;-1.561857095749592e-14;-2.1365456177591113e-06;-146.13548278808594;-4.914275169372559;48352;
247;57305;1.1280381745116532e-33;-1.0;8.577548423712928e-31;-144.72927856445312;-5.512072563171387;16779;
248;57521;-0.0;-0.0;-0.0;-153.62191772460938;-5.109518051147461;29854;
250;57941;-0.0;-0.0;-0.0;-154.4474639892578;-4.940607070922852;39460;
251;58144;0.0;-0.0;0.0;-155.53720092773438;-4.831082344055176;56755;
254;59377;0.0;-0.0;0.0;-114.61663055419922;-24.512554168701172;43993;
255;59575;-0.0;-0.0;-0.0;-114.32102966308594;-18.76895523071289;45279;
257;60010;4.374101365556271e-07;-1.0;5.810536830323643e-18;-130.5327606201172;-6.28393030166626;52747;
259;60417;1.0;-3.4559018757818194e-08;7.251674002871891e-20;-143.93939208984375;-5.580631732940674;536;
260;60615;1.0;-4.2728395044377976e-08;-6.734941503654154e-35;-136.20819091796875;-5.594067096710205;12634;
262;61017;-2.9527944207075052e-05;-1.0;1.1437035486931282e-18;-140.8920440673828;-5.7042999267578125;1915;
263;61222;4.1247404390697476e-14;-1.0;-3.55891534127295e-05;-139.4996795654297;-5.231512546539307;58361;
264;61427;-0.0;-0.0;0.0;-142.69619750976562;-4.847957611083984;31864;
265;61625;8.79109068527284e-14;-1.0;-5.88548455542797e-16;-134.69439697265625;-4.51884126663208;23940;
266;61832;6.022923898599135e-32;-1.0;5.264795366916078e-37;-131.34683227539062;-5.04908561706543;58107;
268;62275;0.0;-1.791469195211448e-09;-1.0;-127.68133544921875;-5.365131378173828;35450;
269;62475;-0.0013026035157963634;-0.9999991655349731;1.0135412426257968e-37;-129.93896484375;-4.896833896636963;26810;
271;62878;0.0;-0.0;0.0;-122.69637298583984;-4.907451629638672;7167;
272;63081;-7.901404357191222e-12;-1.0;2.4214064275119373e-18;-128.91184997558594;-5.170490741729736;37834;
274;63498;-0.0;-0.0;0.0;-131.1734161376953;-5.103199481964111;46056;
277;64117;0.0;-0.0;-0.0;-120.14855194091797;-5.18166446685791;7825;
280;64740;0.9999984502792358;-0.0017535777296870947;2.1808501388781952e-14;-124.46702575683594;-5.032933712005615;51665;
281;65187;-0.013759653083980083;0.7930216789245605;-0.6090381145477295;167.91195678710938;-6.224462509155273;41987;
283;65989;2.2066864385878215e-36;-6.336077062324419e-12;1.0;-112.63811492919922;-5.164412021636963;31420;
