"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
973;11346;-328;70;928;490;4750;3800;-19;-19;-14;16141;
973;11346;-328;70;928;490;4750;3800;-19;-19;-14;16141;
975;11370;-331;54;923;487;4754;3798;-19;-19;-14;1420;
975;11370;-331;54;923;487;4754;3798;-19;-19;-14;1420;
987;11506;-330;59;926;488;4754;3800;-19;-19;-14;62100;
987;11506;-330;59;926;488;4754;3800;-19;-19;-14;62100;
989;11529;-329;55;921;490;4750;3801;-19;-19;-14;58934;
989;11529;-329;55;921;490;4750;3801;-19;-19;-14;58934;
1003;11688;-327;55;920;491;4751;3800;0;0;-1;5031;
1003;11688;-327;55;920;491;4751;3800;0;0;-1;5031;
1005;11712;-328;63;929;491;4753;3800;0;0;-1;50973;
1005;11712;-328;63;929;491;4753;3800;0;0;-1;50973;
1007;11735;-337;63;920;489;4751;3799;0;-19;-14;47733;
1007;11735;-337;63;920;489;4751;3799;0;-19;-14;47733;
1019;11872;-333;54;928;487;4752;3798;0;0;-1;24498;
1019;11872;-333;54;928;487;4752;3798;0;0;-1;24498;
1021;11895;-335;58;925;490;4750;3800;0;0;-1;12334;
1021;11895;-335;58;925;490;4750;3800;0;0;-1;12334;
1035;12054;-328;55;920;488;4751;3801;-19;-19;-14;22205;
1035;12054;-328;55;920;488;4751;3801;-19;-19;-14;22205;
1037;12078;-333;59;921;488;4750;3800;-19;-19;-14;24130;
1037;12078;-333;59;921;488;4750;3800;-19;-19;-14;24130;
1039;12101;-331;57;927;488;4750;3801;-19;0;-1;28434;
1039;12101;-331;57;927;488;4750;3801;-19;0;-1;28434;
25;593;-358;15;911;480;4754;3796;-19;0;-1;56018;
27;622;-341;67;915;517;4727;3812;0;0;-1;52643;
40;797;-340;83;921;455;4760;3921;-19;-19;-14;56172;
42;826;-318;41;926;456;4748;3875;0;0;-1;30612;
44;855;-343;62;916;477;4767;3842;-19;-19;-14;64678;
55;1004;-340;49;922;503;4752;3744;0;0;-1;24070;
72;1239;-336;63;916;511;4753;3787;-19;-19;-14;57974;
74;1268;-331;55;920;494;4751;3803;0;0;-1;26652;
85;1417;-332;67;917;497;4755;3802;-19;-19;-14;14711;
87;1446;-331;58;920;492;4758;3802;0;0;-1;50417;
100;1622;-334;68;921;503;4750;3793;-19;-19;-14;33328;
102;1651;-330;44;924;499;4749;3787;0;0;-1;27276;
