"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
523;80330;80.31900024414062;0.03219380974769592;0.46378007531166077;-0.8803874254226685;0.093752421438694;61421;
525;80590;80.5790023803711;0.030338186770677567;0.40785786509513855;-0.9076629877090454;0.09423059225082397;27428;
527;80945;80.93299865722656;0.018842361867427826;0.3989381492137909;-0.9147351384162903;0.061261583119630814;10327;
529;81218;81.20600128173828;0.017912525683641434;0.33626788854599;-0.9393505454063416;0.06498916447162628;29625;
531;81477;81.46600341796875;0.015912683680653572;0.35907381772994995;-0.9315360188484192;0.05525810644030571;19231;
533;81737;81.72599792480469;0.026744619011878967;0.38890302181243896;-0.9181464314460754;0.07103751599788666;30528;
535;82036;82.0250015258789;0.03648560866713524;0.4247596859931946;-0.9003226161003113;0.08756239712238312;28625;
537;82303;82.29100036621094;0.018446510657668114;0.3754445016384125;-0.9249313473701477;0.05659650266170502;50250;
539;82570;82.55899810791016;0.01152445375919342;0.38067710399627686;-0.9237210154533386;0.04112808033823967;15566;
540;82686;82.67400360107422;0.01809641346335411;0.3905497193336487;-0.9189329743385315;0.052015431225299835;41585;
541;82887;82.875;0.025829439982771873;0.4229569733142853;-0.903095543384552;0.06970418244600296;29314;
543;83146;83.13500213623047;0.03242136538028717;0.41997048258781433;-0.9031051993370056;0.08351477980613708;16677;
544;83262;83.2509994506836;0.03655686601996422;0.430438369512558;-0.89731365442276;0.09063391387462616;1236;
545;83465;83.4530029296875;0.03198540583252907;0.4356650114059448;-0.8957868814468384;0.08209037035703659;13421;
547;83822;83.80999755859375;0.02943069115281105;0.3516467809677124;-0.9319725632667542;0.0830996036529541;47471;
549;84095;84.08399963378906;0.02589290216565132;0.37162765860557556;-0.9252533316612244;0.07161456346511841;41947;
551;84355;84.34300231933594;0.03774072229862213;0.39679890871047974;-0.912530779838562;0.09172677993774414;33711;
553;84616;84.60399627685547;0.038017358630895615;0.38360312581062317;-0.9174816608428955;0.09813686460256577;38905;
555;84888;84.87699890136719;0.04019717127084732;0.38520851731300354;-0.9157273769378662;0.10696664452552795;20797;
556;85017;85.00599670410156;0.028363186866044998;0.36993715167045593;-0.9250096082687378;0.08184876292943954;2132;
557;85218;85.20700073242188;0.024572763592004776;0.37800902128219604;-0.9226306080818176;0.07251287251710892;26426;
559;85478;85.46600341796875;0.02117842063307762;0.3093668520450592;-0.9482201933860779;0.0687173381447792;8728;
561;85737;85.72599792480469;0.020658863708376884;0.3356289267539978;-0.9394101500511169;0.066596120595932;41568;
562;85853;85.84200286865234;0.025032538920640945;0.34959110617637634;-0.933760941028595;0.07245620340108871;46724;
563;86054;86.04199981689453;0.02597811631858349;0.33145585656166077;-0.9397341012954712;0.07976216077804565;27567;
565;86315;86.30400085449219;0.022924693301320076;0.34479251503944397;-0.9359220862388611;0.06813503056764603;61273;
566;86432;86.41999816894531;0.028870267793536186;0.35503455996513367;-0.9311400651931763;0.07807181775569916;12835;
