"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
466;72065;16;-26;-998;497;4756;3803;0;0;0;35587;
467;72266;14;-25;-994;495;4755;3802;-19;0;0;57585;
468;72477;13;-27;-1000;496;4757;3803;0;-19;-13;10017;
469;72679;16;-27;-998;495;4758;3803;0;-19;-13;19885;
471;72939;13;-27;-997;494;4757;3803;-19;0;0;44205;
473;73199;13;-26;-993;496;4755;3803;-19;-19;-13;45013;
475;73491;16;-25;-1000;497;4756;3802;-19;0;0;37581;
477;73751;14;-27;-998;495;4757;3803;0;-19;-13;52528;
479;74024;15;-22;-992;495;4758;3802;0;-19;-13;55047;
481;74297;14;-28;-1000;495;4756;3803;-19;0;0;3800;
482;74413;13;-24;-996;498;4755;3801;-19;-19;-13;167;
483;74614;17;-24;-991;496;4758;3803;0;-19;-13;51544;
485;74873;15;-27;-997;496;4757;3803;-19;0;0;17848;
487;75133;15;-26;-991;497;4756;3802;-19;-19;-13;63067;
488;75249;12;-25;-999;497;4755;3802;0;-19;-13;823;
489;75453;14;-24;-999;497;4755;3801;0;-19;-13;14235;
491;75748;25;-20;-1000;485;4764;3794;-19;0;0;8630;
493;76022;12;-26;-988;496;4757;3802;-19;-19;-13;62855;
495;76281;0;-7;-982;504;4751;3643;0;-19;-13;2536;
497;76555;5;-67;-993;512;4723;3175;-19;0;0;50240;
499;76816;17;-29;-997;492;4759;3802;-19;0;0;36769;
500;76933;8;-37;-992;500;4754;3804;0;-19;-13;42706;
501;77148;17;-36;-987;499;4758;3803;0;-19;-13;55881;
503;77408;11;-34;-1000;495;4753;3803;-19;0;0;63807;
504;77524;13;-38;-998;497;4756;3803;-19;-19;-13;42783;
505;77725;20;-55;-1045;495;4755;3802;0;-19;-13;61062;
507;77984;6;-35;-1001;498;4756;3803;-19;0;0;7672;
509;78243;10;-40;-996;497;4756;3803;-19;-19;-13;44136;
511;78503;11;-31;-990;494;4756;3803;0;-19;-13;10185;
513;78804;16;-41;-996;497;4755;3802;0;-19;-13;25187;
515;79064;12;-36;-992;499;4754;3803;-19;0;0;8395;
517;79324;14;-35;-994;497;4755;3803;-19;-19;-13;16615;
518;79441;13;-36;-991;496;4756;3802;0;-19;-13;63229;
519;79642;15;-39;-997;496;4756;3801;0;0;0;21925;
521;79904;14;-34;-994;496;4757;3801;-19;0;0;13667;
522;80022;13;-36;-993;497;4754;3802;-19;0;0;37225;
523;80330;16;-35;-993;496;4756;3802;0;-19;-13;35891;
525;80590;15;-37;-997;496;4757;3802;0;0;0;31792;
527;80945;14;-34;-993;495;4759;3802;-19;-19;-13;21260;
529;81218;19;-37;-987;501;4753;3803;0;-19;-13;33928;
531;81477;19;-47;-986;496;4759;3801;-19;0;0;3794;
533;81737;15;-25;-993;494;4757;3803;-19;-19;-13;20971;
535;82036;13;-30;-986;497;4757;3802;-19;-19;-13;21037;
537;82303;17;-33;-991;497;4757;3802;-19;0;0;32786;
539;82570;17;-32;-996;496;4757;3803;0;0;0;883;
540;82686;9;-37;-994;497;4756;3802;-19;0;0;65081;
541;82887;14;-28;-993;496;4756;3801;0;-19;-13;4437;
543;83146;17;-31;-994;495;4754;3802;0;0;0;63279;
544;83262;15;-31;-988;495;4757;3802;-19;0;0;5810;
545;83465;17;-36;-1000;495;4758;3803;-19;-19;-13;18390;
547;83822;16;-32;-996;495;4757;3802;0;-19;-13;49901;
549;84095;17;-33;-990;495;4757;3803;0;0;0;23600;
551;84355;14;-32;-992;497;4756;3802;-19;0;0;12033;
553;84616;17;-32;-994;496;4757;3803;0;-19;-13;26089;
555;84888;15;-31;-996;496;4756;3802;0;-19;-13;5723;
556;85017;14;-33;-990;496;4756;3802;-19;0;0;1795;
557;85218;14;-33;-998;518;4743;3805;-19;-19;-13;17733;
559;85478;8;-85;-991;543;4772;3896;0;-19;-13;46457;
561;85737;20;-35;-989;497;4759;3802;-19;0;0;32238;
562;85853;14;-32;-994;495;4757;3802;-19;-19;-13;28970;
563;86054;15;-35;-990;496;4757;3802;0;-19;-13;48805;
565;86315;14;-32;-995;496;4756;3802;-19;0;0;64406;
566;86432;14;-34;-991;497;4756;3802;-19;0;0;2670;
567;86632;10;-35;-994;496;4757;3803;0;-19;-13;9439;
568;87507;-6;-29;-991;522;4734;3807;0;-19;-13;42461;
569;87710;16;-32;-996;495;4756;3803;0;-19;-13;36616;
571;87996;19;-32;-992;496;4756;3801;-19;0;0;54989;
573;88255;16;-30;-992;496;4756;3802;-19;-19;-13;46682;
575;88515;18;-32;-994;496;4756;3802;0;-19;-13;25139;
577;88788;16;-32;-993;496;4758;3801;-19;0;0;17320;
579;89060;19;-33;-994;496;4756;3802;-19;-19;-13;29750;
581;89333;19;-35;-988;497;4755;3803;0;-19;-13;56914;
583;89596;19;-32;-995;495;4757;3802;0;-19;-13;53804;
584;89711;13;-31;-991;495;4757;3802;-19;0;0;29571;
585;89999;20;-36;-990;496;4757;3802;-19;0;0;37576;
587;90263;16;-31;-996;496;4756;3803;-19;0;0;26051;
588;90380;15;-29;-993;496;4757;3802;-19;-19;-13;58960;
589;90580;16;-32;-993;497;4756;3802;0;-19;-13;46485;
590;90696;15;-32;-994;496;4758;3803;-19;0;0;56107;
591;90898;15;-34;-994;497;4757;3802;-19;-19;-13;49141;
595;91432;16;-33;-990;496;4756;3801;0;-19;-13;10267;
597;91692;16;-32;-994;496;4755;3801;-19;0;0;43994;
598;91808;16;-33;-996;496;4756;3802;0;-19;-13;14936;
599;92022;20;-37;-988;496;4754;3802;0;-19;-13;50508;
601;92282;15;-31;-993;495;4755;3803;-19;0;0;21271;
603;92554;19;-30;-995;495;4756;3802;-19;-19;-13;52287;
605;92908;18;-34;-990;494;4758;3802;0;0;0;32611;
606;93023;17;-31;-994;495;4757;3802;-19;0;0;21608;
607;93224;18;-37;-991;496;4754;3802;0;-19;-13;86;
609;93484;19;-33;-993;497;4756;3802;0;0;0;14679;
611;93839;19;-30;-995;495;4757;3802;-19;-19;-13;2223;
613;94099;13;-36;-996;494;4756;3803;0;-19;-13;21493;
615;94390;17;-33;-990;496;4756;3802;-19;-19;-13;35443;
617;94650;14;-33;-994;495;4756;3802;0;-19;-13;47488;
619;94923;17;-31;-996;496;4756;3803;-19;0;0;45482;
620;95039;16;-35;-996;495;4758;3804;-19;-19;-13;60676;
623;95512;16;-39;-1000;497;4757;3802;0;0;0;52735;
624;95628;15;-24;-990;496;4758;3803;-19;0;0;4701;
625;95829;19;-32;-991;495;4758;3801;-19;-19;-13;17662;
627;96088;13;-35;-995;496;4755;3803;0;0;0;42247;
628;96204;18;-32;-999;496;4756;3802;-19;0;0;5868;
629;96405;17;-32;-994;497;4756;3802;-19;-19;-13;58642;
631;96671;16;-35;-994;496;4756;3802;-19;-19;-13;29912;
633;96952;19;-33;-995;496;4756;3803;0;0;0;17542;
635;97212;15;-36;-994;495;4755;3801;-19;0;0;59093;
637;97579;17;-30;-996;496;4755;3802;0;-19;-13;34490;
639;97840;14;-34;-994;496;4757;3803;0;0;0;15557;
641;98114;16;-31;-992;496;4757;3804;-19;0;0;9675;
642;98231;16;-30;-996;495;4757;3803;-19;-19;-13;25102;
643;98528;17;-35;-991;496;4757;3802;0;-19;-13;25140;
645;98787;17;-30;-992;496;4758;3804;-19;0;0;20600;
647;99047;17;-30;-993;496;4756;3803;-19;-19;-13;1198;
649;99320;15;-30;-994;495;4756;3802;0;-19;-13;48390;
