"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
2379;238131;-120;175;966;478;4745;3801;-341;175;187;41537;
2380;238231;-113;173;965;476;4742;3800;-338;193;174;16041;
2381;238331;-114;170;963;477;4745;3801;-309;212;124;1759;
2382;238431;-118;170;962;486;4742;3801;-344;190;179;49422;
2383;238531;-129;167;961;473;4748;3799;-345;190;182;56815;
2384;238631;-120;168;969;476;4746;3798;-340;185;176;24783;
2385;238731;-121;176;969;478;4746;3799;-339;173;185;8820;
2386;238831;-122;166;966;472;4747;3799;-334;200;156;19538;
2387;238931;-120;166;976;480;4744;3801;-524;186;206;42309;
2388;239031;-123;180;974;478;4748;3799;-342;189;170;50282;
2389;239131;-116;162;968;469;4745;3797;-332;232;156;62091;
2390;239231;-120;179;970;478;4746;3802;-331;184;166;37516;
2391;239331;-123;172;969;475;4746;3800;-320;187;169;29068;
2392;239431;-116;172;966;479;4744;3801;-324;179;176;33498;
2393;239531;-118;173;954;478;4746;3801;-334;193;172;13199;
2394;239631;-116;172;967;476;4746;3800;-323;182;173;51902;
2395;239731;-118;169;967;476;4745;3799;-331;174;178;50842;
2396;239831;-122;178;962;479;4745;3801;-321;174;173;26597;
2397;239931;-119;174;961;479;4745;3800;-329;182;168;27860;
2398;240031;-112;173;966;478;4743;3800;-320;178;174;65097;
2399;240131;-119;178;968;479;4748;3801;-334;188;170;3997;
2400;240231;-115;174;968;472;4743;3802;-337;172;185;39662;
2401;240331;-120;179;972;479;4748;3801;-353;176;180;21890;
2403;240531;-114;165;963;475;4746;3800;-322;206;139;7265;
2404;240631;-121;168;965;478;4745;3801;-336;173;175;49830;
2405;240731;-121;169;965;476;4743;3800;-335;175;184;14138;
2406;240831;-115;176;963;478;4743;3800;-348;192;179;21077;
2407;240931;-121;174;962;482;4745;3801;-336;187;173;38768;
2408;241031;-110;180;978;477;4743;3800;-325;209;123;61999;
2409;241131;-118;180;965;477;4747;3800;-335;176;180;32296;
2410;241231;-115;175;961;472;4745;3800;-336;188;174;57308;
2411;241331;-117;173;965;475;4745;3799;-346;193;173;29097;
2412;241431;-119;178;961;477;4747;3800;-330;180;174;48200;
2413;241531;-121;176;972;476;4747;3800;-346;167;189;57017;
2414;241631;-109;171;963;480;4746;3800;-340;169;182;27481;
2415;241731;-128;169;973;476;4746;3799;-342;186;173;64741;
2416;241831;-111;178;968;478;4747;3801;-349;180;180;51584;
2417;241931;-125;179;969;478;4745;3801;-340;179;177;26119;
2418;242031;-117;175;971;474;4746;3799;-350;172;187;4207;
2419;242131;-120;176;967;477;4747;3801;-339;183;177;10547;
2420;242231;-120;168;967;469;4743;3799;-332;177;181;35153;
2421;242331;-116;183;968;482;4749;3800;-337;174;182;63958;
2422;242431;-119;186;964;481;4744;3799;-327;195;132;7589;
2423;242531;-121;171;972;474;4745;3799;-529;192;213;3544;
2424;242631;-125;170;962;477;4746;3800;-341;193;174;44844;
2425;242731;-122;175;969;476;4745;3802;-335;207;168;35553;
2426;242831;-117;171;963;478;4744;3801;-335;174;179;39210;
2427;242931;-121;173;965;477;4746;3800;-336;175;179;12476;
2428;243031;-122;182;970;477;4745;3801;-428;181;198;22913;
2429;243131;-124;172;960;478;4744;3800;-336;182;177;42892;
2430;243231;-117;167;967;479;4745;3801;-330;225;151;16875;
2431;243331;-125;177;975;480;4745;3800;-331;182;173;31748;
2432;243431;-117;172;966;476;4747;3800;-331;179;172;57262;
2433;243531;-121;176;963;476;4746;3801;-327;182;171;10103;
2434;243631;-124;171;959;475;4745;3802;-338;171;175;11641;
2435;243731;-122;164;957;477;4746;3802;-329;178;173;20910;
2436;243831;-121;170;963;478;4748;3800;-326;183;163;21786;
2437;243931;-117;182;962;474;4745;3800;-336;178;181;57089;
2438;244031;-114;164;958;478;4745;3800;-335;169;187;39598;
2439;244131;-124;178;963;483;4745;3800;-336;179;190;10633;
2440;244231;-111;175;967;477;4744;3798;-336;176;173;32128;
2441;244331;-120;169;965;480;4745;3799;-332;182;183;24737;
2442;244431;-115;170;962;474;4744;3800;-330;185;177;53565;
2443;244531;-122;174;964;479;4747;3800;-333;179;182;1525;
2444;244631;-119;170;967;476;4745;3800;-326;196;134;32372;
2445;244731;-115;176;965;477;4747;3801;-330;166;188;46282;
2446;244831;-118;168;962;475;4745;3801;-318;177;179;60759;
2447;244931;-120;180;972;480;4746;3800;-326;175;186;31767;
2448;245031;-107;176;965;479;4745;3800;-325;172;175;44121;
2449;245131;-122;175;956;481;4744;3799;-330;181;172;63153;
2450;245231;-125;162;955;479;4743;3800;-528;192;211;55168;
2451;245331;-118;176;968;478;4747;3801;-340;167;181;6707;
2452;245431;-120;178;963;477;4745;3801;-337;180;177;45745;
2453;245531;-120;174;966;477;4743;3800;-332;169;179;44613;
2454;245631;-113;176;963;473;4747;3799;-334;185;173;61057;
2455;245731;-116;166;956;476;4745;3801;-329;175;177;22657;
2456;245831;-124;171;963;478;4743;3799;-336;179;181;36567;
2457;245931;-111;169;966;479;4743;3800;-334;180;175;40434;
2458;246031;-123;180;962;477;4747;3798;-320;189;134;32172;
2459;246131;-114;179;978;481;4744;3801;-328;179;179;55788;
2460;246231;-118;177;954;480;4742;3801;-340;179;174;38338;
2461;246331;-122;158;958;470;4748;3801;-327;180;176;7618;
2462;246431;-119;196;974;482;4748;3801;-333;167;180;8916;
2463;246531;-118;176;957;475;4743;3800;-332;168;180;19319;
2464;246631;-123;162;968;479;4748;3800;-367;171;187;8485;
2465;246731;-118;172;967;475;4746;3799;-329;167;177;52140;
2466;246831;-120;172;952;479;4746;3801;-327;214;146;22193;
2467;246931;-134;171;979;470;4743;3800;-334;170;182;29976;
2468;247031;-107;156;949;473;4746;3800;-338;170;183;2394;
2469;247131;-127;197;983;480;4750;3800;-340;175;176;54422;
2470;247231;-107;150;957;470;4739;3799;-334;172;182;26932;
2471;247331;-131;181;961;490;4749;3801;-327;178;172;24723;
2472;247431;-110;142;943;450;4742;3795;-335;183;179;42287;
2473;247531;-115;184;956;491;4749;3802;-320;189;172;26279;
2474;247631;-129;166;957;471;4742;3799;-333;187;173;33315;
2475;247731;-117;160;960;482;4745;3802;-327;175;183;11802;
2476;247831;-122;174;968;471;4746;3801;-329;174;185;10947;
2477;247931;-115;180;970;480;4746;3801;-335;174;182;57992;
2478;248031;-119;174;969;479;4743;3802;-335;174;181;39960;
2479;248131;-126;174;958;478;4747;3801;-331;175;176;53982;
2480;248231;-122;178;991;473;4745;3799;-309;205;123;24974;
2481;248331;-121;186;980;485;4744;3802;-332;170;184;11226;
2482;248431;-128;169;973;476;4743;3799;-331;173;179;36489;
2483;248531;-122;161;955;473;4746;3796;-329;178;175;2927;
2484;248631;-119;179;965;477;4745;3799;-348;170;183;48981;
2485;248731;-121;168;972;476;4743;3800;-314;195;142;14460;
2486;248831;-120;181;963;486;4743;3801;-596;206;209;60111;
2487;248931;-116;181;964;481;4748;3801;-349;173;189;65163;
2488;249031;-123;171;957;472;4746;3800;-344;226;169;29699;
2489;249131;-110;179;961;479;4744;3800;-336;175;177;8285;
2490;249231;-124;180;971;480;4743;3799;-342;187;178;21743;
2491;249331;-124;166;965;483;4743;3799;-347;177;183;19474;
2492;249431;-129;165;954;474;4746;3800;-347;172;189;58493;
2493;249531;-114;183;967;471;4748;3799;-339;176;185;36931;
2494;249631;-117;174;983;479;4743;3802;-340;179;188;41154;
2495;249731;-125;187;968;483;4748;3802;-349;186;178;28554;
2496;249831;-112;161;967;463;4743;3797;-345;190;178;1624;
2497;249931;-118;186;966;485;4747;3800;-353;181;186;30026;
2498;250031;-122;162;971;471;4741;3799;-339;177;179;47885;
2499;250131;-122;174;984;481;4745;3800;-352;189;174;3915;
2500;250231;-122;179;978;480;4745;3801;-352;170;189;52520;
