num; vec1; vec2; vec3; delta; ksi
175;136164;-0.000000;0.000000;-0.000000;36.176430;-31.460836
176;136927;-0.000000;0.000000;-1.000000;42.349468;-37.523247
177;137656;-0.000000;0.000000;0.000000;61.927956;-26.247810
178;138419;-0.000000;0.000000;-0.000000;46.270107;-30.294884
179;139180;1.000000;0.000004;0.000000;23.023010;-34.564651
180;139943;0.000000;0.000000;1.000000;12.376570;-44.867668
181;140681;-0.000000;1.000000;0.000000;50.046307;-30.460272
182;141434;0.523716;0.155522;0.837577;94.144279;-23.095308
183;142184;-0.000000;0.000000;-0.000000;98.890099;-27.375904
184;142935;0.000000;0.000000;1.000000;87.379486;-33.530499
185;143697;0.000000;0.343051;-0.939317;90.035233;-19.102875
186;144423;0.999445;0.033321;-0.000000;117.990486;-5.314242
187;145198;-0.000000;0.000000;0.000000;173.926697;-11.834197
188;145938;1.000000;0.000000;0.000000;31.841814;-15.465527
189;146701;-0.000000;0.000000;-0.000000;34.239170;-45.805527
190;147451;-0.000000;0.000000;0.000000;11.744539;-11.985633
191;148214;0.000000;-1.000000;-0.000000;-25.439362;-35.745380
192;148974;-0.000000;1.000000;0.000000;19.121723;-17.645672
193;149725;-0.000000;0.000000;-1.000000;20.079845;-23.464911
194;150475;-0.000000;0.000000;-0.000000;22.386988;-20.237942
195;151217;-0.000000;1.000000;0.000000;47.543022;-18.495197
196;151979;1.000000;0.000000;0.000000;73.966637;-12.646494
197;152731;1.000000;0.000000;0.000000;96.258186;-11.338339
198;153493;0.000000;0.000001;1.000000;84.705521;-10.934197
num; vec1; vec2; vec3; delta; ksi
1;1234;0.000000;1.000000;-0.000005;175.193054;88.894455
2;1971;-0.000000;1.000000;0.000000;154.737305;-67.372620
3;2722;-0.000000;0.000000;-0.000000;156.266510;-58.155453
4;3487;-0.128888;0.000000;0.991659;159.436890;-51.570969
5;4238;-0.999924;0.012336;-0.000000;169.310745;-46.463139
6;4988;-0.000000;-0.000000;0.000000;-178.104721;-38.896057
7;5752;0.000000;-0.000000;-0.000000;-175.589294;-31.981419
8;6501;0.000000;-0.013725;0.999906;-159.218353;-19.834410
9;7255;-1.000000;-0.000000;0.000000;-138.552795;-15.225391
10;7993;-0.000000;-1.000000;-0.000000;-144.834045;-9.212625
11;8744;0.000000;-0.000000;0.000000;-96.398300;-12.476984
12;9495;0.000000;-0.000000;-0.000000;-75.649643;-15.274601
13;10269;0.000000;-0.000000;-0.000000;-52.611027;-13.019503
14;11018;0.000000;-0.999998;-0.002100;-46.545494;-15.004888
15;11769;0.000000;-0.000000;-0.000000;-30.760744;-18.628647
16;12520;0.000000;-1.000000;-0.000000;-14.971107;-17.559906
17;13259;-0.000000;-0.000000;0.000000;-21.411219;-19.518414
18;14011;0.000000;-1.000000;0.000000;-25.068947;-16.342972
19;14750;-0.000000;-0.000000;-0.000000;-30.310951;-14.577873
20;15500;0.000000;-0.000000;-0.000000;-30.546068;-14.154213
21;16251;-0.000000;-0.000000;-0.000000;-18.382698;-16.288200
22;17001;0.000000;-0.000000;-0.000000;-29.151424;-17.900888
23;17779;0.000000;-0.000000;-0.000000;-27.627819;-18.066122
24;18518;0.000132;-1.000000;0.000000;-7.080321;-51.379002
25;19282;-0.000000;-0.000000;-0.000000;-29.122625;-37.360760
26;20031;-0.000000;-1.000000;0.000000;-43.981445;-21.938650
27;20794;-0.000000;-0.000000;0.000000;-49.494434;-18.805323
28;21523;0.000000;-0.000000;0.000000;-41.053413;-25.545553
29;22287;-nan;nan;nan;-20.049021;-37.780109
30;23038;0.000000;-1.000000;0.000000;-21.881374;-39.885063
31;23800;-0.000000;-0.000000;0.000000;-22.885118;-26.103964
32;24550;-0.000000;-0.000000;-0.000000;-6.923084;-20.234150
33;25311;0.000000;-0.000000;-0.000000;-10.475718;-31.624851
34;26062;1.000000;-0.000000;-0.000000;-27.813789;-29.450535
35;26813;-0.000000;-0.000000;-0.000000;-20.837038;-18.052164
36;27577;-0.000000;-0.000000;0.000000;-46.792900;-14.121061
37;28316;-0.000000;-0.000000;0.000000;-28.449301;-19.084442
38;29069;-0.000000;-1.000000;0.000000;-7.220399;-21.517176
39;29831;0.000000;-0.000000;0.000000;-35.486839;-32.919346
40;30582;-0.000000;-0.000000;-1.000000;-39.464222;-51.777504
41;31321;-0.000000;-0.000000;-0.000000;-35.719246;-38.943069
42;32072;0.000000;-0.000000;-1.000000;-53.060509;-47.415352
43;32825;0.000000;-0.000000;0.000000;-39.148380;-44.324314
44;33576;-1.000000;-0.000000;-0.000000;-34.849781;-41.495735
45;34314;-0.000000;-0.000000;-1.000000;-34.775715;-46.146721
46;35135;-0.000000;-0.000000;0.000000;-29.119259;-44.415676
47;35892;0.000000;-1.000000;0.000000;-31.042358;-35.527149
48;36651;0.000000;-0.000000;0.000000;-33.186104;-33.402336
49;37482;-0.000000;-1.000000;-0.000000;-31.690060;-26.688515
50;38214;0.000000;-1.000000;0.000000;-38.095909;-28.225225
51;38960;0.000000;-0.000000;-0.000000;-43.394268;-27.104538
52;40557;0.000000;-0.000000;0.000000;-44.666485;-29.943312
53;41300;0.999799;-0.020029;-0.000000;-50.285805;-20.981161
54;42033;-0.000000;-0.000000;-0.000000;-55.656948;-9.750681
55;42789;-0.000000;-0.000000;-0.000000;-48.416882;-14.343121
56;43534;0.000000;-0.000000;1.000000;-39.485600;-17.316841
57;44280;-0.000000;-1.000000;0.000000;-38.613163;-18.739403
58;45025;0.000000;-0.000000;-1.000000;-47.958443;-16.484713
59;45768;-0.000000;-0.000000;-1.000000;-41.629658;-13.997589
60;46525;0.000000;-0.000000;-0.000000;-45.024796;-45.961731
61;47273;-0.000000;-1.000000;0.000000;-51.456139;-50.771229
62;48600;0.000000;-0.000000;-0.000000;-54.064732;-42.062107
63;49797;0.000000;-0.000000;0.000000;-32.604900;-34.598721
64;50901;-0.000000;-1.000000;-0.000000;-24.523464;-24.967684
65;52018;-0.000000;-0.059472;0.998230;-1.649415;-22.729269
66;53068;0.000000;1.000000;-0.000000;7.367794;-23.572697
67;54063;-0.033317;0.999445;0.000000;16.833055;-13.312238
68;55043;-0.000000;-0.000000;-0.000000;-16.208778;-11.025414
69;56190;-0.000000;-1.000000;-0.000000;-56.575706;-18.495745
70;57339;0.859651;-0.510882;0.000000;-45.441051;-32.323063
71;58229;0.000000;-0.000583;1.000000;-42.479210;-30.487028
72;59065;1.000000;-0.000000;-0.000000;-55.438896;-26.902948
73;59879;0.000000;-1.000000;-0.000017;-67.597023;-20.366993
74;60692;0.000000;-1.000000;0.000000;-73.738686;-18.349987
75;61518;-1.000000;-0.000000;-0.000000;-78.173279;-17.427917
76;62320;0.000000;-1.000000;0.000000;-78.030960;-15.620893
77;63135;0.000000;-0.000000;0.000000;-80.642731;-15.168459
78;63948;-0.000000;-0.000000;1.000000;-69.041550;-13.036769
79;64773;-0.000000;-1.000000;-0.000000;-87.138992;-12.141950
80;65574;0.000000;-0.000000;0.000000;-97.326645;-10.393341
81;66376;0.000000;-0.000000;-0.000000;-104.795128;-9.753002
82;67191;0.000000;-0.000000;0.000000;-104.997955;-9.932487
83;68028;0.000000;-1.000000;0.000000;-97.458466;-11.314610
84;68830;-0.000000;-0.000000;1.000000;-93.057449;-11.670635
85;69643;0.000000;-1.000000;0.000000;-89.118217;-13.580756
86;70457;0.000000;-0.000000;-0.000000;-60.257320;-24.842888
87;71285;-0.000000;-0.000000;-0.000000;-68.333557;-43.006218
88;72099;0.000000;-1.000000;0.000000;-104.758156;-41.251469
89;72900;0.000000;-0.000000;-0.000000;-96.515572;-50.459309
90;73714;-0.614624;-0.788820;-0.000000;-58.736748;-30.355019
91;74528;-1.000000;-0.000000;0.000000;-15.404390;-37.122669
92;75364;-0.000000;-0.000000;1.000000;-28.282806;-37.937702
num; vec1; vec2; vec3; delta; ksi
1;1171;0.000000;1.000000;-0.000000;11.843328;-17.598988
2;1872;0.144767;0.000000;0.989466;9.945904;-14.189498
3;2562;1.000000;-0.000000;0.000000;-6.867759;-12.626529
4;3266;-0.000000;-1.000000;-0.000000;-23.206390;-10.625068
5;3968;1.000000;-0.000000;-0.000000;-97.208321;-3.807430
6;4670;0.000000;-1.000000;0.000000;-100.550453;-3.778067
7;5359;-0.000011;-1.000000;0.000000;-99.157562;-5.138914
8;6073;-0.000000;-0.000000;0.000000;-104.488281;-5.994584
9;6778;-0.000000;-0.000000;-0.000000;-116.148819;-6.864753
10;7492;-0.000000;-0.000000;0.000000;-111.128700;-7.199833
11;8194;-0.000000;-0.000000;0.000000;-115.684807;-8.006992
12;8883;1.000000;-0.000000;0.000000;-119.032997;-8.699313
13;9586;1.000000;-0.000000;0.000000;-122.035248;-8.903382
14;10289;-0.000000;-0.000000;0.000000;-127.177414;-9.728312
15;11003;nan;nan;-nan;-126.654922;-9.024517
16;11680;0.998685;-0.051268;-0.000000;-131.020294;-9.857581
17;12408;0.000000;-1.000000;0.000000;-130.863098;-9.656991
18;13110;-0.000000;-0.000000;0.000000;-137.026779;-11.310674
19;13884;0.000000;-1.000000;-0.000000;-142.536972;-8.094448
20;14920;-0.000000;-0.000000;-1.000000;-165.484818;-2.633740
21;15836;-0.000000;0.000000;-0.000000;179.176071;-5.591796
22;16885;0.000000;-0.000000;-0.000000;-119.053665;-0.945257
23;17920;-0.000000;-0.000000;0.000000;-149.048004;-4.300738
num; vec1; vec2; vec3; delta; ksi
1;982;-1.000000;0.000000;0.000000;92.451126;-4.399714
2;1708;0.000000;1.000000;0.000020;76.373100;-10.478628
3;2422;0.000000;0.999504;-0.031507;90.500313;-8.445107
4;3099;-0.000000;0.000000;-1.000000;83.468758;-8.130726
5;3815;0.000000;1.000000;-0.000000;88.089645;-9.121972
6;4504;0.000000;1.000000;0.000000;82.589775;-9.259696
7;5218;0.000000;0.000000;1.000000;95.508575;-8.589881
8;5894;0.000000;0.000000;0.000000;92.895760;-8.042111
9;6607;0.000006;0.000000;1.000000;110.539215;-6.771368
num; vec1; vec2; vec3; delta; ksi
1;7920;-0.000000;1.000000;-0.000000;34.175312;-33.465961
2;8653;0.000000;0.000000;1.000000;44.728832;-28.808933
3;9348;-0.007496;0.999972;-0.000000;61.079586;-25.287773
num; vec1; vec2; vec3; delta; ksi
1;11694;0.000000;-0.000000;-1.000000;-71.194778;-43.821583
2;12402;0.000000;-0.000000;0.000000;-67.619476;-43.884857
3;13085;-0.000000;-0.000000;-0.000000;-64.341652;-45.010250
4;13817;0.000000;-0.000000;0.000000;-58.549454;-44.716640
5;14514;-1.000000;-0.000000;0.000000;-51.761177;-44.786518
6;15307;0.000000;-0.000000;0.000000;-42.752319;-43.599014
7;16004;0.000000;-0.000000;0.000000;-32.751247;-41.527912
8;16723;-0.000000;-0.000000;0.000000;-19.787788;-37.599194
9;17419;-0.000000;-0.000000;-1.000000;-4.909026;-32.832550
10;18139;-0.000000;0.000000;0.000000;15.600449;-25.318407
11;18822;-0.000000;0.000000;0.000000;39.261105;-19.118065
12;19556;-0.000000;0.990080;-0.140502;65.098343;-10.061098
13;20264;-0.000000;0.000000;-1.000000;35.022530;-7.953995
14;20971;-0.000000;0.000000;-0.000000;37.013603;-6.341361
15;21679;-0.000000;0.000000;0.000000;37.292107;-8.161138
16;22386;0.000000;0.000000;-1.000000;30.649662;-7.856804
17;23108;-0.000000;0.000000;0.000000;42.463127;-7.989674
18;23804;0.000000;1.000000;0.000000;37.849518;-8.672448
19;24524;0.000000;1.000000;0.000000;44.530884;-8.861993
20;25219;0.000002;0.999796;-0.020193;53.151203;-8.629828
21;25950;0.000000;0.000000;0.000000;54.608067;-8.156290
